Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
regist-login,Chrome 128.0.0.0,,,23-09-2024 23:17:41,23-09-2024 23:19:22,1m - 41.373s,PASSED
,,,,,,,
Test Cases/registration-acc,Chrome 128.0.0.0,,,23-09-2024 23:17:41,23-09-2024 23:18:13,32.638s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,23-09-2024 23:17:41,23-09-2024 23:17:45,4.297s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,23-09-2024 23:17:45,23-09-2024 23:17:46,0.428s,PASSED
navigateToUrl(mainURL),Chrome 128.0.0.0,,,23-09-2024 23:17:46,23-09-2024 23:17:48,2.190s,PASSED
delay(2),Chrome 128.0.0.0,,,23-09-2024 23:17:48,23-09-2024 23:17:50,2.060s,PASSED
"verifyElementPresent(findTestObject(""user-menu""), 0)",Chrome 128.0.0.0,,,23-09-2024 23:17:50,23-09-2024 23:17:51,1.256s,PASSED
"click(findTestObject(""user-menu""))",Chrome 128.0.0.0,,,23-09-2024 23:17:51,23-09-2024 23:17:54,3.033s,PASSED
delay(2),Chrome 128.0.0.0,,,23-09-2024 23:17:54,23-09-2024 23:17:56,2.018s,PASSED
"verifyElementPresent(findTestObject(""createnewacc-btn""), 0)",Chrome 128.0.0.0,,,23-09-2024 23:17:56,23-09-2024 23:17:57,0.277s,PASSED
"click(findTestObject(""createnewacc-btn""))",Chrome 128.0.0.0,,,23-09-2024 23:17:57,23-09-2024 23:17:57,0.442s,PASSED
delay(2),Chrome 128.0.0.0,,,23-09-2024 23:17:57,23-09-2024 23:17:59,2.026s,PASSED
"verifyElementPresent(findTestObject(""createuname-field""), 0)",Chrome 128.0.0.0,,,23-09-2024 23:17:59,23-09-2024 23:17:59,0.279s,PASSED
"setText(findTestObject(""createuname-field""), ""Nabilah"")",Chrome 128.0.0.0,,,23-09-2024 23:17:59,23-09-2024 23:18:00,1.030s,PASSED
"setText(findTestObject(""createmail-field""), ""nabilah@gmail.com"")",Chrome 128.0.0.0,,,23-09-2024 23:18:00,23-09-2024 23:18:01,0.832s,PASSED
"setText(findTestObject(""createpass-field""), ""Pass123"")",Chrome 128.0.0.0,,,23-09-2024 23:18:01,23-09-2024 23:18:02,0.740s,PASSED
"setText(findTestObject(""confirmpass-field""), ""Pass123"")",Chrome 128.0.0.0,,,23-09-2024 23:18:02,23-09-2024 23:18:03,0.738s,PASSED
"verifyElementPresent(findTestObject(""iagree-cbx""), 0)",Chrome 128.0.0.0,,,23-09-2024 23:18:03,23-09-2024 23:18:03,0.459s,PASSED
"if (verifyElementNotChecked(findTestObject(""iagree-cbx""), 0))",Chrome 128.0.0.0,,,23-09-2024 23:18:03,23-09-2024 23:18:04,0.728s,PASSED
delay(3),Chrome 128.0.0.0,,,23-09-2024 23:18:04,23-09-2024 23:18:07,3.009s,PASSED
"click(findTestObject(""regist-btn""))",Chrome 128.0.0.0,,,23-09-2024 23:18:07,23-09-2024 23:18:07,0.320s,PASSED
delay(5),Chrome 128.0.0.0,,,23-09-2024 23:18:07,23-09-2024 23:18:12,5.012s,PASSED
"verifyElementPresent(findTestObject(""username-txt""), 0)",Chrome 128.0.0.0,,,23-09-2024 23:18:12,23-09-2024 23:18:13,0.250s,PASSED
"click(findTestObject(""user-menu""))",Chrome 128.0.0.0,,,23-09-2024 23:18:13,23-09-2024 23:18:13,0.510s,PASSED
"click(findTestObject(""logout-btn""))",Chrome 128.0.0.0,,,23-09-2024 23:18:13,23-09-2024 23:18:13,0.331s,PASSED
,,,,,,,
Test Cases/login-acc,Chrome 128.0.0.0,,,23-09-2024 23:18:13,23-09-2024 23:18:37,23.577s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,23-09-2024 23:18:14,23-09-2024 23:18:16,1.961s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,23-09-2024 23:18:16,23-09-2024 23:18:16,0.340s,PASSED
navigateToUrl(mainURL),Chrome 128.0.0.0,,,23-09-2024 23:18:16,23-09-2024 23:18:19,3.529s,PASSED
delay(2),Chrome 128.0.0.0,,,23-09-2024 23:18:19,23-09-2024 23:18:21,2.015s,PASSED
